DISTRICT,lat,long
1,43.38846543,-95.80151412
2,43.10667194,-94.94168154
3,42.9164057,-95.68586148
4,43.06739291,-96.23005153
5,42.64909341,-96.18245462
6,42.37023502,-96.27250976
7,43.3648643,-94.22200187
8,42.96499264,-93.87302354
9,42.54721467,-94.18616082
10,42.58878263,-94.50804308
11,42.56164431,-95.12837232
12,41.91692898,-94.9525058
13,42.5193624,-96.30551596
14,42.52758673,-96.44072788
15,41.27219807,-95.88847339
16,41.23050897,-95.85642862
17,42.08738114,-95.83338494
18,41.79464714,-95.44352294
19,41.67545631,-93.96759345
20,41.53154577,-94.47921111
21,41.14637178,-94.72413034
22,41.35217305,-95.61187414
23,40.92295064,-95.50807253
24,40.7540842,-94.73336387
25,41.3192309,-93.91490418
26,41.35894984,-93.50265539
27,40.84382356,-93.60485528
28,41.29396769,-93.12837348
29,41.7216309,-93.07482369
30,41.68683607,-93.43352988
31,41.59686619,-93.51816826
32,41.61698144,-93.58549696
33,41.55494206,-93.57251923
34,41.54703027,-93.62575661
35,41.61749852,-93.63559619
36,41.6262608,-93.68039826
37,41.7748918,-93.58856207
38,41.68872523,-93.60802189
39,41.7119657,-93.75519347
40,41.63378457,-93.75507288
41,41.55740654,-93.67358334
42,41.53551145,-93.74870949
43,41.59873329,-93.75590377
44,41.58887219,-93.84644012
45,42.02229826,-93.56219743
46,42.0436918,-93.6431582
47,42.02994345,-94.23910273
48,42.30094722,-93.78822269
49,42.13873876,-93.33392482
50,42.4736364,-92.90844997
51,43.36465641,-92.66103992
52,43.06237836,-92.61712218
53,43.08375398,-93.20064002
54,42.82891308,-93.16045255
55,43.10602259,-91.77235473
56,43.057418,-91.34608
57,42.4837099,-90.87879561
58,42.15481148,-90.78155608
59,42.53612431,-92.45655305
60,42.42301962,-92.4685245
61,42.40137019,-92.21029106
62,42.51346602,-92.3275159
63,42.71125521,-92.30356632
64,42.62207615,-91.86888526
65,41.97400492,-91.63058448
66,42.02012035,-91.68184076
67,42.06124102,-91.64737757
68,41.9477915,-91.54947524
69,41.90958028,-91.71484836
70,41.99224528,-91.77126034
71,42.12561235,-92.91817787
72,42.06427763,-92.68582679
73,41.76706056,-91.20170294
74,41.713649,-91.58357178
75,42.03287119,-92.0705249
76,41.6707117,-92.32696917
77,41.63950814,-91.64421796
78,41.34949785,-91.98040394
79,41.3511791,-92.78743663
80,40.99227472,-92.74822157
81,41.00318021,-92.31494532
82,40.81461948,-92.14603042
83,40.57346131,-91.44102513
84,40.95374326,-91.59367446
85,41.67128771,-91.51281529
86,41.6246248,-91.52205342
87,40.82402718,-91.11430441
88,41.19400734,-91.21819268
89,41.55280836,-90.62767623
90,41.49664473,-90.65365163
91,41.47744578,-90.95381004
92,41.62778575,-90.74234796
93,41.55012382,-90.53574149
94,41.57386603,-90.48119755
95,42.18708307,-91.60914656
96,42.40153636,-91.33592663
97,41.82621926,-90.60877726
98,41.93511193,-90.32040078
99,42.48738619,-90.72497078
100,42.5326451,-90.7024957
